,id,name,rating,lat,lon,description,url,city_id
0,0,Stunning studio near Canal St Martin - DIVINE MOON,8.7,48.8807681,2.3723488,"L’hébergement Stunning studio near Canal St Martin - DIVINE MOON se trouve à Paris, à respectivement 1,4 km et 1,5 km de ces lieux d’intérêt : Gare du Nord et Gare de l'Est. Il dispose de la climatisation. Cet appartement est à respectivement 2,7 km et 2,9 km de : Salle de spectacles La Cigale et Métro Pigalle.

Bénéficiant d’une connexion Wi-Fi gratuite, cet appartement propose une télévision à écran plat par câble, ainsi qu’une kitchenette avec un réfrigérateur et un micro-ondes. Des serviettes et du linge de lit sont mis à votre disposition.

Vous séjournerez à respectivement 3,7 km et 4,2 km de ces lieux d’intérêt : Centre Pompidou et Opéra Garnier. L'aéroport le plus proche (Aéroport de Paris - Roissy - Charles-de-Gaulle) est à 16 km.",https://www.booking.com/hotel/fr/stunning-studio-near-canal-st-martin-divine-moon.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCq9GFvwbAAgHSAiRmMmNhYzhmMC03YWYwLTQ1MTMtOGY5YS0xMTFjOGFiYmM2MjfYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=8fa56415a61f0364&srepoch=1742825644&from=searchresults,6
2,2,"Le Havre, 1 chambre , appartement Sympa en centre ville",7.8,49.4923869,0.1141751,"L’hébergement Le Havre, 1 chambre, appartement Sympa en centre ville vous accueille au Havre, à respectivement 1,6 km et 800 mètres de ces lieux d’intérêt : Plage du Havre et Église Saint-Michel. Il propose des équipements tels qu’une connexion Wi-Fi gratuite et une télévision à écran plat. Occupant un bâtiment datant de 1960, cet appartement est à respectivement 800 mètres et 500 mètres de : Le Volcan et Appartement témoin Perret.

Cet appartement se compose de 2 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et des articles de toilette gratuits. Des serviettes et du linge de lit sont à votre disposition.

Vous séjournerez à respectivement 1,3 km et 24 km de ces lieux d’intérêt : Église Saint-Joseph du Havre et Musée d'ethnographie et d'art populaire. L'aéroport le plus proche (Aéroport de Deauville - Normandie) est à 37 km.",https://www.booking.com/hotel/fr/le-havre-superbe-appartement-centre-ville.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCq9GFvwbAAgHSAiRkMTdkYjE3Yy0xMDUzLTQ1OGYtYTEyYi01NjYyMDc3ODlmZmXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ccce6415d12f05cf&srepoch=1742825644&from=searchresults,4
3,3,Villa Raphaëlle #4 Centre ville avec parking,9.1,49.4972771,0.1230355,"L’hébergement Villa Raphaëlle #4 Centre ville avec parking vous accueille au Havre, à seulement 2,4 km de ce lieu d’intérêt : Plage du Havre. Il possède un salon commun, une terrasse et une réception ouverte 24h/24. Cet appartement comprend un parking privé gratuit, une cuisine commune et une connexion Wi-Fi gratuite.

Cet appartement comporte 1 chambre, une télévision à écran plat, ainsi qu’une cuisine entièrement équipée avec un réfrigérateur, un micro-ondes, un lave-linge et un grille-pain. Des serviettes et du linge de lit sont à votre disposition.

Vous séjournerez à proximité de ces lieux d’intérêt : Église Saint-Michel, Appartement témoin Perret et Le Volcan. L'aéroport le plus proche (Aéroport de Deauville - Normandie) est à 37 km.",https://www.booking.com/hotel/fr/villa-raphaelle-4.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCq9GFvwbAAgHSAiRkMTdkYjE3Yy0xMDUzLTQ1OGYtYTEyYi01NjYyMDc3ODlmZmXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=ccce6415d12f05cf&srepoch=1742825644&from=searchresults,4
4,4,A l ombre du Mont Saint Michel,10.0,48.6156258,-1.4651207,"Situé à Huisnes-sur-Mer, l’établissement A l ombre du Mont Saint Michel possède une connexion Wi-Fi gratuite, un jardin, un salon commun et une terrasse.

L’établissement dispose d’une télévision à écran plat, ainsi que d'une salle de bains privative comprenant des articles de toilette gratuits, un sèche-cheveux et une douche. Un réfrigérateur et une bouilloire sont également à disposition.

L’établissement A l ombre du Mont Saint Michel sert un petit-déjeuner buffet ou continental.

Vous pourrez pratiquer la randonnée dans les environs.

Vous séjournerez à respectivement 10 km et 10 km de ces lieux d’intérêt : Abbaye du Mont Saint Michel et Mont Saint-Michel. L'aéroport le plus proche (Aéroport de Rennes-Saint-Jacques) est à 91 km.",https://www.booking.com/hotel/fr/a-l-ombre-du-mont-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCq9GFvwbAAgHSAiQ0MWE2YmM2Yy01NjkwLTQyZjUtYjVkYS0wZTdiZGM3NDkyZDfYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ed216415c5970666&srepoch=1742825645&from=searchresults,1
5,5,La Villa,8.4,49.4502853,1.0890898,"L’établissement La Villa se trouve à Rouen (Haute-Normandie), à proximité de ces lieux d’intérêt : Gare de Rouen-Rive-Droite et Cathédrale Notre-Dame de Rouen. Il propose une connexion Wi-Fi gratuite et un parking privé gratuit.

Un réfrigérateur est également disponible, ainsi qu'une machine à café et une bouilloire.

Vous séjournerez à respectivement 3,6 km et 4,4 km de ces lieux d’intérêt : Palais des sports de Rouen et Voltaire Station, Rouen. L'aéroport le plus proche (Aéroport de Paris-Beauvais) est à 85 km.",https://www.booking.com/hotel/fr/ermitage-bouquet-rouen.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCq9GFvwbAAgHSAiQyNTRmZmMyYi1jMDcwLTQ2MzItYmNhMS04NjBiZDk1OWNiYWPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=f8b0641543070608&srepoch=1742825645&from=searchresults,5
6,6,B&B HOTEL Rouen Centre Rive Gauche,7.8,49.4317818,1.0824082000000317,"L'hôtel B&B HOTEL Rouen Centre Rive Gauche est situé dans le quartier Saint-Sever, à 1 km de la place Jeanne-d'Arc et de la cathédrale de Rouen. Son bar est ouvert 24h/24 et la connexion Wi-Fi est gratuite dans tout l'hôtel.

Les chambres modernes sont équipées de la climatisation et d'une télévision à écran plat avec les chaînes du bouquet BeIN Sports. La salle de bains privative est pourvue d'un sèche-cheveux.

Un petit-déjeuner buffet composé de plats sucrés et salés incluant des œufs, de la salade de fruits, des yaourts et des jus est servi tous les matins. Des viennoiseries cuites sur place et des madeleines fraîches sont aussi proposées ainsi qu'une boisson chaude et un fruit à emporter. Un petit-déjeuner plus léger est proposé à partir de 4h00.

Vous pourrez commander des collations au bar sur place, le Rendez-Vous.

La gare ferroviaire de Rouen-Rive-Droite se trouve à 1 km de l'hôtel et vous pourrez stationner dans le parking privé couvert surveillé.",https://www.booking.com/hotel/fr/ibis-rouen-centre-rive-gauche-st-sever.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCq9GFvwbAAgHSAiQyNTRmZmMyYi1jMDcwLTQ2MzItYmNhMS04NjBiZDk1OWNiYWPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=f8b0641543070608&srepoch=1742825645&from_sustainable_property_sr=1&from=searchresults,5
7,7,Hôtel De La Cathédrale,7.9,49.44011681378441,1.0969336330890656,"Arborant une façade à colombages datant du XVIIe siècle, l'Hôtel De La Cathédrale est situé à seulement 50 mètres de la cathédrale de Rouen, en plein cœur du centre historique de la ville. Cet établissement vous accueille à 4 km de la salle omnisports Kindarena. Lors de votre séjour, vous pourrez prendre un goûter dans une salle s'ouvrant sur la terrasse. Un parking public sécurisé et payant est accessible à proximité.

Les chambres à la décoration personnalisée comprennent toutes une télévision par câble à écran plat. Certaines possèdent un coin salon. Leur salle de bains privative est pourvue d'un sèche-cheveux.

Chaque matin, un petit-déjeuner buffet est servi dans la salle à manger, décorée dans un style normand traditionnel.

Vous séjournerez à 5 minutes à pied de l'église de Saint-Ouen. Enfin, l'Hôtel De La Cathédrale se trouve à seulement 1,6 km de la gare de Rouen-Rive-Droite.",https://www.booking.com/hotel/fr/de-la-cathedrale.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCq9GFvwbAAgHSAiQyNTRmZmMyYi1jMDcwLTQ2MzItYmNhMS04NjBiZDk1OWNiYWPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=f8b0641543070608&srepoch=1742825645&from=searchresults,5
8,8,Domaine du Haut-Koenigsbourg,8.3,48.24702280361078,7.346320925292957,"L’établissement Domaine du Haut-Koenigsbourg se situe à Orschwiller (Alsace), à proximité de ce lieu d’intérêt : Château du Haut-Kœnigsbourg. Il possède une connexion Wi-Fi gratuite et un parking privé gratuit.

L’établissement dispose d’une télévision à écran plat, ainsi que d'une salle de bains privative comprenant des articles de toilette gratuits, un sèche-cheveux et une douche. Des serviettes et du linge de lit moyennant des frais supplémentaires.

L’établissement Domaine du Haut-Koenigsbourg sert un petit-déjeuner à la carte ou continental.

Vous pourrez profiter d’une terrasse bien exposée sur place et pratiquer la randonnée et le vélo dans les environs.

Vous séjournerez à respectivement 23 km et 26 km de ces lieux d’intérêt : Parc des expositions et des congrès de Colmar et Maison des Têtes. L'aéroport le plus proche (Aéroport de Strasbourg Entzheim) est à 48 km.",https://www.booking.com/hotel/fr/les-chambres-du-haut-koenigsbourg.fr.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKs0YW_BsACAdICJDRmYmJlNzE0LWY1M2MtNDIwYS05ZDBkLTFiOGJmNTFjMDNlZNgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2906641667d102e6&srepoch=1742825645&from=searchresults,10
9,9,Gite St Léon à Eguisheim,9.2,48.0428645,7.3061238,"L’hébergement Gite St Léon à Eguisheim vous accueille à Eguisheim, à 5,6 km de ce lieu d’intérêt : Gare de Colmar. Il comprend un restaurant, une connexion Wi-Fi gratuite et un distributeur de billets. Cet hébergement offre une vue sur la ville et est installé à respectivement 6,5 km et 6,9 km de : Maison des Têtes et Collégiale Saint-Martin.

Cet appartement se compose de 1 chambre, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et un sèche-cheveux. Des serviettes et du linge de lit sont mis à votre disposition.

Si vous souhaitez découvrir la région, vous aurez la possibilité de pratiquer la randonnée et le vélo dans les environs. Un service de location de vélos est assuré sur place.

Vous séjournerez à respectivement 10 km et 35 km de ces lieux d’intérêt : Parc des expositions et des congrès de Colmar et Château du Haut-Kœnigsbourg. L'aéroport le plus proche (EuroAirport Mulhouse) est à 54 km.",https://www.booking.com/hotel/fr/gite-st-leon.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqzRhb8GwAIB0gIkMTkwZDRlM2MtMjQxYS00MTJhLWI1YWMtMDdiMTYzYTAzM2Iw2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=50ed641628250600&srepoch=1742825645&from=searchresults,12
10,10,Auberge des Trois Châteaux,8.7,48.04303910084867,7.3058076202869415,"L’établissement Auberge des Trois Châteaux vous accueille à Eguisheim, à 5,8 km de ce lieu d’intérêt : Gare de Colmar. Il possède un restaurant, des hébergements non-fumeurs, ainsi qu'une connexion Wi-Fi gratuite. Il se trouve à respectivement 6,7 km, 7,1 km et 10 km de : Maison des Têtes, Collégiale Saint-Martin et Parc des expositions et des congrès de Colmar. Vous pourrez admirer la vue sur la ville.

Les hébergements possèdent un bureau, une télévision à écran plat, une salle de bains privative, du linge de lit et des serviettes. Vous profiterez aussi d’une armoire.

La région est prisée des amateurs de vélo, et cet hôtel 2 étoiles assure un service de location de vélos.

Vous séjournerez à respectivement 35 km et 39 km de ces lieux d’intérêt : Château du Haut-Kœnigsbourg et Parc Expo Mulhouse. L'aéroport le plus proche (EuroAirport Mulhouse) est à 54 km.",https://www.booking.com/hotel/fr/auberge-des-trois-chac-teaux.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqzRhb8GwAIB0gIkMTkwZDRlM2MtMjQxYS00MTJhLWI1YWMtMDdiMTYzYTAzM2Iw2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=50ed641628250600&srepoch=1742825645&from=searchresults,12
